gen,tech,area,lat,lng,capacity,cost_spur_usd_per_km_mw,cost_poi_usd_per_mw,cost_reinforcement_usd_per_mw,system_capacity,capacity_factor
solar_11083,solar,3.0,36.26579604542593,-118.1738792355926,562.63,4334.185178850601,15000.0,407670.75,540.0,21.704051587967797
solar_3865,solar,3.0,35.399983877055554,-117.89215974462962,555.68,8326.904253604604,15000.0,748010.2,540.0,20.956046218629005
solar_12223,solar,3.0,36.35237726226296,-117.3287207627037,616.44,4162.50411039619,15000.0,431066.34,540.0,19.899699049838656
solar_3481,solar,3.0,35.31340266021852,-117.54001038092592,235.46,9015.091456745968,15000.0,1450488.9,540.0,20.98557988500825
solar_5002,solar,3.0,35.57314631072963,-117.75129999914816,321.51,14019.768686868689,15000.0,610527.6,540.0,20.805657171461945
solar_12591,solar,3.0,36.35237726226296,-117.11743114448149,1283.28,5059.439440354808,35000.0,243376.78,540.0,20.986785155739607
solar_8422,solar,3.0,36.00605239491482,-118.878177963,1534.09,4738.016111105843,15000.0,147581.83,540.0,18.4643785313685
wind_10314,wind,3.0,34.96707779287037,-118.38516885381482,246.0,3910.4721550060904,15000.0,469507.75,3370.0,41.28737036872091
wind_11451,wind,3.0,35.05365900970741,-117.39915063544444,216.0,5037.468664619892,35000.0,286184.66,3370.0,31.922420034212657
wind_11080,wind,3.0,35.05365900970741,-117.82172987188888,240.0,3140.1317006028785,15000.0,473568.0,3370.0,29.83449048851381
wind_5759,wind,3.0,34.534171708685186,-118.5260285992963,246.0,4889.942746873255,15000.0,579130.6,3370.0,27.70681974270578
wind_3867,wind,3.0,34.18784684133704,-116.976571399,66.0,10357.10906815908,15000.0,550612.56,3370.0,22.15517101019571
wind_4625,wind,3.0,34.361009275011114,-118.24430910833333,186.0,5539.314954486427,35000.0,411351.8,3370.0,40.587012468578514
wind_11462,wind,3.0,35.14024022654445,-118.59645847203704,72.0,4246.732688971792,15000.0,421182.88,3370.0,30.90716157998361
wind_4614,wind,3.0,34.274428058174074,-117.04700127174074,228.0,9597.691972840154,15000.0,542013.2,3370.0,45.46469677479659
wind_12222,wind,3.0,35.22682144338148,-118.80774809025924,180.0,4639.573607492375,15000.0,448000.2,3370.0,7.294763642570183
wind_5762,wind,3.0,34.534171708685186,-118.31473898107409,204.0,11720.692783303672,15000.0,378539.16,3370.0,38.767218884089594
